Model Size,Task,Classifier,Seed,C,gamma,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample
medium_multitask_mask_45,link,SVM,2,0.1501799526595153,,linear,,,,,,,,
medium_multitask_mask_45,link,LGBM,0,,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536
medium_multitask_mask_45,link,LGBM,1,,,,0.7668088018810296,0.11587950184865049,14.0,815.0,99.0,0.05108188686258306,0.15478974396671022,0.755164296464803
medium_multitask_mask_45,link,LGBM,2,,,,0.9069964683661049,0.07124493899625672,19.0,748.0,35.0,0.28132576380055857,0.3278764015541138,0.7547570604474237
large_multitask_mask_45,domain,SVM,0,0.44103656679709824,,linear,,,,,,,,
large_multitask_mask_45,domain,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
large_multitask_mask_45,domain,SVM,2,1.275466815572557,0.003867464027059848,rbf,,,,,,,,
large_multitask_mask_45,domain,LGBM,0,,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536
large_multitask_mask_45,domain,LGBM,1,,,,0.6371203234562951,0.05826049138004879,5.0,416.0,28.0,3.081839932567508,0.06594014877215837,0.6236972805206253
large_multitask_mask_45,domain,LGBM,2,,,,0.9192801551348214,0.15943407786941663,7.0,485.0,88.0,3.569040794494147,0.16551033935787676,0.6108809463579398
large_multitask_mask_45,kingdom,SVM,0,0.5301709347576824,,linear,,,,,,,,
large_multitask_mask_45,kingdom,SVM,1,37.137282635707706,0.002352959348061621,rbf,,,,,,,,
large_multitask_mask_45,kingdom,SVM,2,1.275466815572557,0.003867464027059848,rbf,,,,,,,,
large_multitask_mask_45,kingdom,LGBM,0,,,,0.6527191449617569,0.11431471515815911,5.0,906.0,39.0,0.15612133571202763,0.4554748900348601,0.6659761840967536
large_multitask_mask_45,kingdom,LGBM,1,,,,0.7668088018810296,0.11587950184865049,14.0,815.0,99.0,0.05108188686258306,0.15478974396671022,0.755164296464803
large_multitask_mask_45,kingdom,LGBM,2,,,,0.8347187912000413,0.11565496320882328,11.0,645.0,78.0,0.16669535445395142,0.03395892008889068,0.9878529623307171
large_multitask_mask_45,phylum,SVM,0,0.44103656679709824,,linear,,,,,,,,
large_multitask_mask_45,phylum,SVM,1,0.4944059287398674,,linear,,,,,,,,
large_multitask_mask_45,phylum,SVM,2,0.2666119111216874,,linear,,,,,,,,
large_multitask_mask_45,phylum,LGBM,0,,,,0.7479232370993361,0.0164555438559355,7.0,615.0,114.0,1.6053955926854302,7.701328264939122,0.6995012574079832
large_multitask_mask_45,phylum,LGBM,1,,,,0.8715342131759564,0.02053999758694306,7.0,878.0,43.0,0.5664575403106769,0.4985814110725697,0.8455753271184223
large_multitask_mask_45,phylum,LGBM,2,,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387
large_multitask_mask_45,class,SVM,0,0.44103656679709824,,linear,,,,,,,,
large_multitask_mask_45,class,SVM,1,2.2321849928717583,,linear,,,,,,,,
large_multitask_mask_45,class,SVM,2,0.31103255667795526,,linear,,,,,,,,
large_multitask_mask_45,class,LGBM,0,,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154
large_multitask_mask_45,class,LGBM,1,,,,0.8143585623662046,0.09561040970689902,11.0,614.0,96.0,0.012285817917393638,4.460426911895981,0.8163152758403859
large_multitask_mask_45,class,LGBM,2,,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387
large_multitask_mask_45,order,SVM,0,0.44103656679709824,,linear,,,,,,,,
large_multitask_mask_45,order,SVM,1,0.4944059287398674,,linear,,,,,,,,
