GlyTouCan ID,IUPAC Condensed,Subsumption Level,Monoisotopic Mass
G02098HY,Kdn(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)]GalNAc,Linkage-defined saccharide,1347.48
G02096VT,Man(a1-2)Man(a1-2)Man(a1-2)Man(a1-2)Man(a1-2)Man,Linkage-defined saccharide,990.33
G02132LE,Xyl(b1-4)Xyl(b1-4)Xyl(b1-4)Xyl(b1-4)Xyl(b1-4)Xyl-onic,Linkage-defined saccharide,826.26
G02045TO,Glc(a1-6)Gal(a1-2)Glc,Linkage-defined saccharide,504.17
G02087OT,GlcA(b1-3)[GlcA(b1-3)[GlcA(b1-3)[GlcA(b1-3)GalA(a1-2)Rha(a1-4)]GalA(a1-2)Rha(a1-4)]GalA(a1-2)Rha(a1-4)]GalA(a1-2)Rha,Linkage-defined saccharide,2010.5
G02184NZ,Rha(a1-2)[Xyl(b1-3)]D-Fuc,Linkage-defined saccharide,442.17
G02188RD,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,1932.71
G02188VP,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc,Linkage-defined saccharide,1510.55
G02179RF,Gal(b1-4)Gal(a1-3)Gal(b1-5)Kdo,Linkage-defined saccharide,724.23
G02196YO,Glc(b1-4)Glc(a1-3)Glc,Linkage-defined saccharide,504.17
G02183OE,Gal(b1-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Gal(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,Linkage-defined saccharide,2637.94
