Model Size,Task,Classifier,Seed,C,kernel,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,reg_alpha,reg_lambda,subsample,gamma
large_multitask_mask_15,class,SVM,2,0.1501799526595153,linear,,,,,,,,,
large_multitask_mask_15,class,LGBM,0,,,0.9981198270711551,0.07235415712774491,19.0,243.0,43.0,0.10328157319309919,1.057443000344446,0.7268806968277184,
large_multitask_mask_15,class,LGBM,1,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188,
large_multitask_mask_15,class,LGBM,2,,,0.9973065177846362,0.029223525724947828,17.0,866.0,60.0,0.11508696467556201,0.25323718685559815,0.7096693037561841,
large_multitask_mask_15,order,SVM,0,0.44103656679709824,linear,,,,,,,,,
large_multitask_mask_15,order,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
large_multitask_mask_15,order,SVM,2,0.1501799526595153,linear,,,,,,,,,
large_multitask_mask_15,order,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
large_multitask_mask_15,order,LGBM,1,,,0.6888498190141499,0.012834169698744222,11.0,877.0,146.0,0.07300053042915261,0.02455193447436324,0.6077467831481188,
large_multitask_mask_15,order,LGBM,2,,,0.7743979608568015,0.010921849507601297,11.0,399.0,95.0,0.18243300267253287,0.09795000511540235,0.681859453615137,
large_multitask_mask_15,family,SVM,0,0.5301709347576824,linear,,,,,,,,,
large_multitask_mask_15,family,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
large_multitask_mask_15,family,SVM,2,0.2666119111216874,linear,,,,,,,,,
large_multitask_mask_15,family,LGBM,0,,,0.718456079008858,0.014975289856365856,7.0,674.0,143.0,0.044716356807505624,0.49609699890114284,0.946041024522154,
large_multitask_mask_15,family,LGBM,1,,,0.7791920725681672,0.20787049901879373,19.0,648.0,123.0,0.03133737331985318,6.060741222490683,0.7391063438982026,
large_multitask_mask_15,family,LGBM,2,,,0.6676901786336712,0.027091362274609277,12.0,735.0,63.0,0.0137099823515695,8.901441378162104,0.7765419677419387,
large_multitask_mask_15,genus,SVM,0,0.44103656679709824,linear,,,,,,,,,
large_multitask_mask_15,genus,SVM,1,37.137282635707706,rbf,,,,,,,,,0.002352959348061621
large_multitask_mask_15,genus,SVM,2,0.31103255667795526,linear,,,,,,,,,
